Name	Set	ImageFile	Rarity	Unique	Printable	CollectorsInfo	Type	Cost	Mission/DilemmaType	Span	Points	Quadrant	Affiliation	Icons	Staff	Keywords	Class	Species	Skills	Integrity/Range	Cunning/Weapons	Strength/Shields	Text
Montgomery Scott Experienced Engineer	Alg	ST2E-EN20027	V	Y	Y	20V027	Personnel	4					[Fed]	[Cmd] [TOS] [Pa]				Human	2 Engineer Physics 2 Transporters	6	5	5	You may play this personnel at cost -2 to ignore his next ability. When you play this personnel, if you command another [TOS] personnel who has a cost of 4 or more, you may remove an event in an opponent's core from the game.
Noah Lessing Driven Officer	Alg	ST2E-EN20028	V	Y	Y	20V028	Personnel	3					[Fed]	[Stf] [Voy]				Human	Biology Geology Programming Science Treachery	4	6	6	While this personnel is facing a dilemma, you may lose 5 points to have him gain a skill required by that dilemma until the end of that dilemma. You may do this only once each turn.
Rudolph Ransom Devious Captain	Alg	ST2E-EN20029	V	Y	Y	20V029	Personnel	3					[Fed]	[Cmd] [Voy]		Commander: U.S.S. Equinox. 		Human	Diplomacy Exobiology Leadership Officer Science Transporters Treachery	3	6	6	While this personnel is attempting a mission, you may lose 5 points and choose two of your stopped [Voy] Treachery personnel present and stop this personnel to unstop those two personnel. Those personnel join this mission attempt.
Spock Experienced Officer	Alg	ST2E-EN20030	V	Y	Y	20V030	Personnel	4					[Fed]	[Cmd] [TOS] [Pa]				Human/Vulcan	Anthropology Archaeology Engineer Programming Science	6	8	7	You may play this personnel at cost -1 to ignore his next ability. You may play this personnel aboard your [TOS] ship that has a [TOS] personnel who has a cost of 4 or more aboard.
Thompson	Alg	ST2E-EN20031	V	N	Y	20V031	Personnel	3					[Fed]	[Stf] [Voy]				Human	Anthropology Archaeology Astrometrics Medical Physics Science Treachery	4	6	5	When you play this personnel, you may lose 5 points to make his cost -3.
Willard Decker Recommended Replacement	Alg	ST2E-EN20032	V	Y	Y	20V032	Personnel	4					[Fed]	[Cmd] [TOS] [Pa]		Commander: U.S.S. Enterprise. 		Human	Anthropology Diplomacy Leadership Officer Programming Science Security	6	6	6	You may play this personnel at cost -1 to ignore his next ability. When you play this personnel, return your [TOS] personnel who has a cost of 4 or more to his or her owner's hand.
Grish	Alg	ST2E-EN20033	V	N	Y	20V033	Personnel	2					[Fer]	[Stf] [Pa]		Thief. 		Ferengi	Exobiology Medical Transporters Treachery	4	5	5	When your [Fer] personnel present is killed by a dilemma, this personnel and each [Pa] [Fer] personnel present cannot be killed by dilemmas until the end of this turn.
Krem Unidentified Pirate	Alg	ST2E-EN20034	V	Y	Y	20V034	Personnel	3					[Fer]	[Stf] [Pa]		Commander: Quetsivoo.  Thief. 		Ferengi	Archaeology Astrometrics Geology Honor Navigation Science	6	5	5	When this personnel uses a skill to complete a mission, if he is present with two [Pa] [Fer] personnel, you may unstop all your stopped [Fer] personnel at this mission.
Muk Unidentified Pirate	Alg	ST2E-EN20035	V	Y	Y	20V035	Personnel	3					[Fer]	[Stf] [Pa]		Thief. 		Ferengi	Acquisition Archaeology 2 Physics Security Treachery	4	5	5	When you play this personnel, if you command three [Pa] [Fer] personnel, you may download up to three equipment.
Quark Vastly Outnumbered	Alg	ST2E-EN20036	V	Y	Y	20V036	Personnel	2					[Fer]	[DS9]				Ferengi	Acquisition Anthropology Treachery	4	6	4	When you play this personnel, you may download a card and place that card beneath your Ferenginar. When you play this personnel, if an opponent commands a Maneuver event, he is cost -2.
Ulis Unidentified Pirate	Alg	ST2E-EN20037	V	Y	Y	20V037	Personnel	4					[Fer]	[Cmd] [Pa]		Commander: Quetsivoo.  Thief. 		Ferengi	Acquisition Biology Engineer Programming Treachery	4	5	5	When this personnel is facing a dilemma, you may stop him to take a [Pa] [Fer] personnel from your discard pile and place him or her present with this personnel. That personnel joins the mission attempt.
Elder T'Pol Displaced Survivor	Alg	ST2E-EN20038	V	Y	Y	20V038	Personnel	3					[SF]	[Stf] [Pa]				Vulcan	Anthropology Honor 2 Science	7	7	3	When this personnel uses a skill to complete a mission, you may shuffle each non-Human [SF] personnel that you own that has been removed from the game into his or her owner's deck.
Greer	Alg	ST2E-EN20039	V	N	Y	20V039	Personnel	3					[SF]	[Stf] [Pa]				Alien/Human	Anthropology Astrometrics Biology Honor Navigation Officer	6	5	5	When this personnel is about to be removed from the game, if he is present with three non-Human [SF] personnel, you may download an interrupt.
Karyn Archer Displaced Descendant	Alg	ST2E-EN20040	V	Y	Y	20V040	Personnel	3					[SF]	[Cmd] [Pa]				Alien/Human/Ikaaran	Archaeology Honor Leadership Programming Science Security	6	6	5	When this personnel is removed from the game, each of your [SF] personnel are attributes +2 until the end of the turn.
Lorian Displaced Descendant	Alg	ST2E-EN20041	V	Y	Y	20V041	Personnel	4					[SF]	[Cmd] [Pa]		Commander: Future Enterprise.		Human/Vulcan	Engineer Leadership Officer Science Security Transporters	4	7	6	When this personnel is about to be removed from the game, you may unstop each stopped [SF] personnel present. (Those personnel may join the mission attempt.)
U.S.S. Enterprise Where She Belongs	Alg	ST2E-EN20042	V	Y	Y	20V042	Ship	7					[Fed]	[TOS] [Pa]	[Cmd] [Stf]		Constitution			8	6	6	You may play this ship at cost -4 to ignore its next ability. When you play this ship, you may download a [TOS] personnel who has a cost of 4 or more and play him or her at cost -4 aboard this ship.
U.S.S. Equinox Determined To Get Home	Alg	ST2E-EN20043	V	Y	Y	20V043	Ship	4					[Fed]	[Voy]	[Cmd] [Stf] [Stf]		Nova			8	6	7	While you do not command a headquarters mission, you may play this ship at Caretaker's Array. While this ship is at a [DQ] mission, you may play [Voy] Treachery personnel, [NA] personnel, and equipment aboard this ship. While you do not command U.S.S. Voyager, you may pay the cost of losing 5 points to use an ability on one of your [Voy] personnel by discarding a Nucleogenic card from hand.
Quetsivoo Unidentified Pirate Ship	Alg	ST2E-EN20044	V	Y	Y	20V044	Ship	5					[Fer]	[Pa]	[Stf] [Stf]		Guzah'far			4	4	4	While you command three [Pa] [Fer] personnel aboard this ship, it is attributes +4 and each of your [Fer] personnel aboard this ship gains [Pa].
Future Enterprise Displaced Starship	Alg	ST2E-EN20045	V	Y	Y	20V045	Ship	5					[SF]	[Pa]	[Cmd]		NX			8	5	5	When your non-Human [SF] personnel at this mission is about to be killed or stopped by a dilemma, you may remove that personnel from the game instead.
A Private Little War	ID	ST2E-EN21001	V	N	Y	21V001	Dilemma	4	D														Randomly select a personnel to be stopped. Unless you have Honor, Medical, Science and Integrity>32 or Engineer, Security, Treachery and Strength>32, randomly select a second personnel to be stopped and your opponent may download an equipment.
Dark Page	ID	ST2E-EN21002	V	N	Y	21V002	Dilemma	2	D														Choose a personnel who has Anthropology or Exobiology to be stopped. If you cannot, randomly select a personnel to be killed.
In Development	ID	ST2E-EN21003	V	N	Y	21V003	Dilemma	6	D														For each headquarters you command, this dilemma is cost -1. Randomly select a personnel who has a cost of 2 or less. All your other personnel who have a cost of 2 or less are stopped.
Inhumane Interrogation	ID	ST2E-EN21004	V	N	Y	21V004	Dilemma	4	D														Randomly select a personnel to be killed. You may destroy an event in your core to prevent this.
Mark of Gideon	ID	ST2E-EN21005	V	N	Y	21V005	Dilemma	3	D														Randomly select a personnel to be stopped. If you still have nine personnel remaining, return that personnel to his or her owner's hand, then your opponent chooses a second personnel to return to his or her owner's hand. If you still have ten personnel remaining, your opponent chooses a third personnel to return to his or her owner's hand.
Pillage and Plunder	ID	ST2E-EN21006	V	N	Y	21V006	Dilemma	1	P							Persistent. 							Choose a personnel who has Archaeology or Treachery to be stopped. If you cannot, randomly select a personnel to be killed.
Setting the Stage	ID	ST2E-EN21007	V	N	Y	21V007	Dilemma	2	D														Randomly select nine personnel. All your other personnel are stopped and this dilemma returns to its owner's dilemma pile.
The Clown: Go Away	ID	ST2E-EN21008	V	N	Y	21V008	Dilemma	2	D														Place this dilemma on this mission. At the start of each of your turns, if you command no personnel or ships at this mission, remove this dilemma from the game. When personnel begin a mission attempt at this mission, randomly select a personnel to be returned to its owner’s hand.
The First Duty	ID	ST2E-EN21009	V	N	Y	21V009	Dilemma	1	S							Persistent. 							Choose a personnel who has Honor or Law to be stopped. If you cannot, randomly select a personnel to be killed.
Hypospray	ID	ST2E-EN21010	V	N	Y	21V010	Equipment	2															When your personnel present is about to be killed by a dilemma, you may stop that personnel and your Medical personnel present to prevent that. You may do this only once each turn.
Persistent Strike	ID	ST2E-EN21011	V	N	Y	21V011	Event	3								Maneuver. 							Plays in your core. Order - Begin an engagement involving your Officer personnel. If you win, place this event on an opponent's ship involved. Otherwise, destroy this event. Damage - If this is a non- [Voy] ship, ignore its game text.
Product Placement	ID	ST2E-EN21012	V	N	Y	21V012	Event	0															Discard an equipment, event, or interrupt from hand to spend two additional counters this turn. Destroy this event.
Slightly Awkward	ID	ST2E-EN21013	V	N	Y	21V013	Event	0								Q. Temporal. 							"Plays in your core. When a personnel that the player on your right commands begins a mission attempt, you may discard an equipment, event, or interrupt from hand to choose one: draw an extra dilemma; or, spend one extra in total cost on dilemmas."
Transport Crash Survivors	ID	ST2E-EN21014	V	Y	Y	21V014	Mission	0	S	3	30	A	Any						16 different skills, and Cunning>32				When a player's personnel begin a mission attempt at a mission worth 30 or more points with five or less personnel, the player to the left of that player may draw six extra dilemmas and spend six extra on dilemmas.
Automated Server	ID	ST2E-EN21015	V	N	Y	21V015	Personnel	2					[NA]			Waiter. 		Hologram	Anthropology Diplomacy Exobiology Transporters	5	5	4	While you command three [Fer] personnel, this personnel is attributes +1, gains Acquisition, and becomes [Fer].
Doran	ID	ST2E-EN21016	V	N	Y	21V016	Personnel	2					[NA]					Hologram	Anthropology Engineer Physics Treachery	3	5	5	While you command three [Car] personnel, this personnel is attributes +1, gains Archaeology, and becomes [Car].
Garren	ID	ST2E-EN21017	V	N	Y	21V017	Personnel	2					[NA]					Hologram	Astrometrics Navigation Programming Science	5	5	5	While you command three [Rom] personnel, this personnel is attributes +1, gains Engineer, and becomes [Rom].
K'wov	ID	ST2E-EN21018	V	N	Y	21V018	Personnel	2					[NA]					Hologram	Exobiology Navigation Security	4	4	6	While you command three [Kli] personnel, this personnel is attributes +1, gains Leadership, and becomes [Kli].
Sumek	ID	ST2E-EN21019	V	N	Y	21V019	Personnel	2					[NA]					Hologram	Geology Honor Medical	6	6	6	While you command three [Fed] personnel, this personnel gains Biology and Officer, and becomes [Fed].
Olarra	ID	ST2E-EN21020	V	Y	Y	21V020	Ship	5					[NA]		[Stf] [Stf] [Stf]		Transport			8	6	7	While your [NA] Hologram with no staffing icons is aboard this ship, he or she gains [Stf]. While you have a lower score than each of your opponents and a Hologram personnel is aboard this ship, you may spend an additional counter this turn.
Code Forty-Seven	PP	ST2E-EN22001	V	N	Y	22V001	Dilemma	2	D														Choose one or more [Cmd] personnel to be stopped. Unless the total cost of personnel stopped by this dilemma is 4 or more, this dilemma returns to its owner's dilemma pile.
Forced Into Labor	PP	ST2E-EN22002	V	N	Y	22V002	Dilemma	3	P														Unless you have Geology, Leadership, and Trellium-D or 2 Security and Strength>32, all your personnel are stopped and this dilemma returns to its owner's dilemma pile.
Gravitational Anomaly	PP	ST2E-EN22003	V	N	Y	22V003	Dilemma	3	S														Unless you have Navigation, Science, and Trellium-D or Geology, Physics, and Cunning>32, all your personnel are stopped and this dilemma returns to its owner's dilemma pile.
Healing Hand	PP	ST2E-EN22004	V	N	Y	22V004	Dilemma	2	D														Choose a Medical personnel to be stopped. Unless the personnel stopped by this dilemma has 2 Medical, this dilemma returns to its owner's dilemma pile.
Honorable Pursuit	PP	ST2E-EN22005	V	N	Y	22V005	Dilemma	2	D														Choose an Honor personnel to be stopped. Unless the personnel stopped by this dilemma has 2 Honor, this dilemma returns to its owner's dilemma pile.
Infinite Diversity	PP	ST2E-EN22006	V	N	Y	22V006	Dilemma	2	D														Your opponent discards two cards from hand to name a skill (except Acquisition, Intelligence, Law, or Telepathy). Unless you have Anthropology and that skill or Science and that skill, all your personnel are stopped.
Legacy	PP	ST2E-EN22007a	V	N	Y	22V007	Dilemma	4	D														You and your opponent each reveal the top three dilemmas of your dilemma piles. Unless you revealed an equal or greater number of dilemmas that require a skill than your opponent, all of your personnel are stopped.
Pitching In	PP	ST2E-EN22008	V	N	Y	22V008	Dilemma	4	D														If you have four or more personnel who have a cost of 2 or less attempting this mission, this dilemma is cost -3. Choose a Leadership or Security personnel to be stopped. Then choose an Engineer or Programming personnel to be stopped.
Unfair Comparison	PP	ST2E-EN22009	V	N	Y	22V009	Dilemma	2	D														You and your opponent each reveal the top three dilemmas of your dilemma piles. Unless you revealed dilemmas that have an equal or greater total cost than your opponent, randomly select three personnel to be stopped.
Trellium-D	PP	ST2E-EN22010	V	N	Y	22V010	Equipment	0															To play this equipment, you must command a Region: Delphic Expanse mission. Plays aboard your ship. When you play this equipment, discard a non-personnel card from hand to draw two cards.
Allegiance	PP	ST2E-EN22011	V	Y	Y	22V011	Event	2															To play this event, you must command six [Fed] [Maq] personnel. Plays in your core. At the end of each of your turns, if an opponent has no cards in hand, you may choose one: Download a [Maq] Leadership personnel, or score 5 points, or draw six cards and then place three cards from hand on the bottom of your deck.
Alvera Tree Ritual	PP	ST2E-EN22012	V	N	Y	22V012	Event	0								Ritual. 							Plays in your core. When you play this event, draw a card. When a personnel begins a mission attempt, you may have each player shuffle his or her dilemma pile. When you are about to lose command of this event, prevent that and remove it from the game.
Holding Cell	PP	ST2E-EN22013a	V	N	Y	22V013	Event	4								Decay: 3. 							To play this event, you must command three [DS9] personnel. Plays in your core. When you play this event, name a personnel, then each player places each copy of that personnel they command on this event (those personnel cannot use abilities). When an opponent is about to play an interrupt, prevent that interrupt and place it on this event instead.
Klingon Tea Ceremony	PP	ST2E-EN22014	V	N	Y	22V014	Event	0								Ritual. 							Plays in your core. When you play this event, draw a card. When an opponent downloads a card, if he or she has already downloaded a card this turn, that opponent must place it on top of his or her deck instead of in his or her hand. When you are about to lose command of this event, prevent that and remove it from the game.
Sent Back	PP	ST2E-EN22015	V	N	Y	22V015	Event	2															To play this event, you must discard two [Rom] cards from hand. Choose an opponent and name a personnel or event. That opponent places each card he or she commands with that card title on the bottom of its owner's deck and then draws two cards. Destroy this event.
Spatial Reconfiguration	PP	ST2E-EN22016	V	N	Y	22V016	Event	2															Plays on your non-headquarters mission. This mission gains Region: Delphic Expanse and can be attempted by your [SF] personnel. When a card an opponent owns causes you to lose command of this event, return it to its owner's hand.
This Side of Paradise	PP	ST2E-EN22017	V	N	Y	22V017	Event	0								Decay: 4. 							Plays in your core. When your personnel is about to be killed by a dilemma, you may place him or her on this event instead.
Diversionary Tactics	PP	ST2E-EN22018	V	N	Y	22V018	Interrupt	0															To play this interrupt, discard two [Fed] cards from hand. When an opponent plays an interrupt, if one of his or her personnel is facing a dilemma you own, prevent that interrupt and place it in its owner's discard pile. Order - Take a [Fed] card from your discard pile and place it on top of its owner's deck.
Exchange Program	PP	ST2E-EN22019	V	N	Y	22V019	Interrupt	0															To play this interrupt, you must command two [Kli] ships. When an opponent plays an interrupt, download an interrupt. Order - Place one of your [Kli] personnel at an opponent's headquarters mission (he or she now commands that personnel) to take a personnel at that headquarters mission that has a cost equal to or less than that [Kli] personnel and place him or her at your Qo'noS (you now command that personnel).
Hidden Resource	PP	ST2E-EN22020	V	N	Y	22V020	Interrupt	0															When an opponent plays a ship, discard a [Baj] card from hand to download a [Baj] ship. Order - Each of your [Baj] ships is Range +5 until the end of this turn.
Lustful Distraction	PP	ST2E-EN22021	V	N	Y	22V021	Interrupt	0															To play this interrupt, stop two [SF] personnel you command. When an interrupt is played, prevent that interrupt and place it in its owner's discard pile. Order - Choose an event. The owner of that event shuffles it into his or her deck.
Opportunity Seized	PP	ST2E-EN22022	V	N	Y	22V022	Interrupt	0															To play this interrupt, discard a card from beneath your Ferenginar. When an opponent plays an interrupt, you may destroy your Rule to prevent that interrupt and place it in its owner's discard pile. Place this interrupt beneath your Ferenginar. Order - Your [Fer] ship is Range +4 until the end of the turn.
Ruling Council	PP	ST2E-EN22023	V	N	Y	22V023	Interrupt	0															To play this interrupt, you must command Mouth of the Wormhole and three non-Dissident [TN] personnel. When your [Car] [TN] personnel or [Dom] [TN] personnel uses a skill to complete a mission, score 10 points. Order - Unstop each of your stopped [TN] personnel.
Secret Agenda	PP	ST2E-EN22024	V	N	Y	22V024	Interrupt	0															When your [Rom] Leadership personnel is facing a dilemma, name a skill that none of your personnel facing that dilemma has. That [Rom] Leadership personnel gains that skill until the end of that dilemma. Order - Examine an opponent's hand. For each [Rom] Leadership personnel you command, choose an interrupt revealed. That opponent discards each one.
Superior Position	PP	ST2E-EN22025	V	N	Y	22V025	Interrupt	0															To play this interrupt, you must have more points or command more ships than one of your opponents. When your [Car] personnel is about to be killed by a dilemma, stop that personnel instead. Order - Discard the top card of your deck to take a [Car] card from your discard pile and place it on top of its owner's deck.
Unrelenting	PP	ST2E-EN22026	V	N	Y	22V026	Interrupt	0															To play this interrupt, stop a personnel you command but do not own aboard your [Bor] ship. When an opponent plays an interrupt, you may give command and place a personnel he or she owns but that you command at his or her headquarters mission to prevent that interrupt and place it in its owner's discard pile. Order - Take command of an opponent's personnel present with a personnel that he or she owns but that you command.
Vorta Discipline	PP	ST2E-EN22027	V	N	Y	22V027	Interrupt	0															When your Founder or Vorta is about to be stopped, stop your Jem'Hadar present with him or her to prevent that. Order - Kill your Jem'Hadar present with a Treachery Vorta to destroy an event that has a cost equal to or less than that Jem'Hadar's cost.
Investigate Anachronism	PP	ST2E-EN22028	V	Y	Y	22V028	Mission	0	P	2	30	A	[SF]			Region: Delphic Expanse. 			Diplomacy, Leadership, 2 Security, and Strength>30 or 2 Anthropology, Biology, Honor, and Cunning>30				
Investigate Refinery	PP	ST2E-EN22029	V	Y	Y	22V029	Mission	0	P	2	35	A	[SF]			Region: Delphic Expanse. 			2 Physics, Security, Treachery, and Strength>31 or Engineer, Leadership, Science, and Cunning>34				
Benjamin Sisko Man of Two Worlds	PP	ST2E-EN22030	V	Y	Y	22V030	Personnel	4					[Baj]	[Cmd]				Human	Anthropology Archaeology Honor Leadership	8	6	6	When you play this personnel, you may download a Prophet card and/or take each personnel you own that has been removed from the game and place them in your discard pile.
Kira Nerys Liberator	PP	ST2E-EN22031	V	Y	Y	22V031	Personnel	5					[Baj]	[Cmd] [DS9]		Bajoran Resistance. 		Bajoran	Anthropology Honor Physics Security	6	6	6	When a [Baj] personnel present is killed by a dilemma, you may take a different Bajoran Resistance personnel from your discard pile and place him or her present with this personnel. That personnel joins this mission attempt.
Odo Bajoran Representative	PP	ST2E-EN22032	V	Y	Y	22V032	Personnel	2					[Baj]	[Cmd] [TN]		Shape-shifter. 		Changeling	Law Leadership Security	6	7	8	To play this personnel, you must command three non-Dissident [TN] personnel. You may play this personnel to Mouth of the Wormhole at cost +5 to do any or all of the following: score 5 points, download an equipment, download Ruling Council, download a [TN] card.
Dukat Cardassian Representative	PP	ST2E-EN22033	V	Y	Y	22V033	Personnel	4					[Car]	[Cmd] [TN]		Gul. 		Cardassian	Law Leadership Officer Security Treachery	4	6	6	When you play this personnel, you may choose one: download Ruling Council or download a [Dom] card. Order - Discard three non-personnel cards (or two [TN] cards) from hand to destroy an event.
Amat'igan Founder Bodyguard	PP	ST2E-EN22034	V	Y	Y	22V034	Personnel	5					[Dom]	[Stf]				Jem'Hadar	Astrometrics Navigation Security	5	5	8	When your [Dom] personnel present is killed by a dilemma, you may take a Jem'Hadar from hand and place him present with this personnel. That personnel joins the mission attempt.
Weyoun Dominion Representative	PP	ST2E-EN22035	V	Y	Y	22V035	Personnel	4					[Dom]	[Cmd] [TN]				Vorta	Diplomacy Law Leadership Treachery	3	6	4	When you play this personnel, you may choose one: download Ruling Council or download a [Car] card. Order - Place this personnel on the bottom of his owner's deck to name a personnel. Each opponent takes a personnel that he or she commands with that card title and place each on the bottom of his or her deck.
Giotto Security Chief	PP	ST2E-EN22036	V	Y	Y	22V036	Personnel	2					[Fed]	[Cmd] [TOS] [Pa]				Human	Leadership Officer 2 Security Transporters	5	5	6	You may play this personnel at cost +2 to prevent and overcome the first dilemma he faces this turn that has a cost of 1 or more and does not require a skill.
Morgan Bateson Confident Commander	PP	ST2E-EN22037	V	Y	Y	22V037	Personnel	2					[Fed]	[Cmd] [TNG] [Pa]		Commander: U.S.S. Bozeman. 		Human	Astrometrics Diplomacy Leadership Science	6	4	5	While no player commands a Temporal event, this personnel is attributes +1.
