Name	Set	ImageFile	Rarity	Unique	Printable	CollectorsInfo	Type	Cost	Mission/DilemmaType	Span	Points	Quadrant	Affiliation	Icons	Staff	Keywords	Class	Species	Skills	Integrity/Range	Cunning/Weapons	Strength/Shields	Text
Show Trial	TUC	STVE-EN15007	V	N	Y	15V007	Dilemma	2	D														Randomly select a personnel who has Leadership or Medical to be stopped. If you have more points than each of your opponents, randomly select an additional personnel to be stopped.
The Void Alliance	TUC	STVE-EN15016	V	N	Y	15V016	Event	2															To play this event, you must command three [Voy] personnel. Plays in your core. When your personnel is facing a dilemma, you may give command of this event to the player on your left to have that personnel gain a skill of your choice until the end of that dilemma (move this event to his or her core).
Treasured Collectibles	TUC	STVE-EN15017	V	N	Y	15V017	Event	0															To play this event, you must command three [Fer] personnel. Place a number of your equipment with a total cost of 3 or more on the bottom of their owner's deck to spend an additional 7 counters this turn. Destroy this event.
Warrior's Resolve	TUC	STVE-EN15022	V	N	Y	15V022	Interrupt	0															Order - Randomly select a card in your discard pile to be removed from the game. If that card was a [Kli] personnel, add that personnel's cost to the attributes of each of your [Kli] ships until the end of turn. Place this interrupt on the bottom of your deck.
Hikaru Sulu Loyal Captain	TUC	STVE-EN15031	V	Y	Y	15V031	Personnel	4					Federation	[Cmd][TOS][Pa][E]		Commander: U.S.S. Excelsior. 		Human	Archaeology Astrometrics Honor Leadership Navigation Officer	6	6	6	You may play this personnel aboard your U.S.S. Excelsior. When the ship this personnel is aboard is about to move to a mission where you command a ship, subtract 2 from the Range required.
Jake Sisko Engineer's Apprentice	TUC	STVE-EN15032	V	Y	Y	15V032	Personnel	2					Federation	[DS9]				Human	Anthropology Engineer Honor Programming	6	5	5	When an event in your core is destroyed, if this personnel is equipped with a non-Hand Weapon equipment, you may download a [DS9] personnel. You may do this only once each turn.
Nog Eager Ensign	TUC	STVE-EN15035	V	Y	Y	15V035	Personnel	2					Federation	[Stf][DS9]				Ferengi	Acquisition Engineer Officer Physics	6	6	5	When an event in your core is destroyed, if this personnel is equipped with a non-Hand Weapon equipment, you may download an event. You may do this only once each turn.
Kerla Military Advisor	TUC	STVE-EN15038	V	Y	Y	15V038	Personnel	3					Klingon	[Cmd][Pa]		General. 		Klingon	Astrometrics Diplomacy Officer Security	5	5	7	When you win an engagement involving this personnel, you may place him on the bottom of his owner's deck to choose one of your non-headquarters missions. The player on your left places the top card of his or her dilemma pile beneath that mission.
Annorax Temporal Architect	TUC	STVE-EN15039	V	Y	Y	15V039	Personnel	5					Non-Aligned	[Cmd][AU]		Commander: Kyana's Hope.		Krenim	Anthropology 2 Engineer Leadership Physics Science 2 Treachery	1	7	5	While this personnel is aboard your non-[Fed] ship, that ship is Weapons +2. Order - Remove your Temporal event that has a cost of 3 or more from the game to name an event. Each player shuffles each copy of that event they command into its owner's deck.
Sorus	TUC	STVE-EN15042	V	N	Y	15V042	Personnel	2					Romulan	[Stf]				Romulan	Engineer Programming Security Treachery	3	5	6	Order - Place this personnel on the bottom of his owner's deck to examine each opponent's hand. You may discard an event or interrupt from each examined hand.
Jonathan Archer Heroic Diplomat	TUC	STVE-EN15043	V	Y	Y	15V043	Personnel	4					Starfleet	[Cmd][Pa]		Commander: Enterprise.		Human	Anthropology Diplomacy Exobiology Honor Leadership Navigation Officer	6	6	6	While this personnel is facing a dilemma, if you command three non-Human personnel, you may discard the top card of your deck to make each of your Humans attributes +1 until the end of that dilemma.
Kyana's Hope Temporal Weapon	TUC	STVE-EN15045	V	Y	Y	15V045	Ship	6					Non-Aligned	[AU]	[Cmd][Cmd][Stf]		Kyana Class			5	5	5	This ship is attributes +1 for each of your Temporal events. Order - Remove a number of your Temporal events with a total cost of 4 or more from the game to name a personnel. Each player shuffles each copy of that personnel they command into his or her owner's deck.
Let Them Worry	FTB	STVE-EN16008	V	N	Y	16V008	Dilemma	3	D														Unless you have 3 Honor or Medical, Physics, and Strength>28, randomly select a personnel to be stopped, and if your opponent commands 3 Shape-shifter personnel, all your personnel are stopped.
Reprogrammed	FTB	STVE-EN16026	V	N	Y	16V026	Interrupt	0															When an opponent plays an interrupt, if one of his or her personnel is facing a dilemma you own, discard a personnel from hand to prevent that interrupt and place it in its owner's discard pile.
Inversion Mystery	FTB	STVE-EN16029	V	Y	Y	16V029	Mission	0	S	4	30	D	Any affiliation may attempt this mission.			Nebula. 			Astrometrics, Diplomacy, Engineer, and Cunning>28				When you complete this mission, name a dilemma. When your personnel face that dilemma, you may prevent it and overcome it.
Husnock Ship	FTB	STVE-EN16045	V	N	Y	16V045	Ship	7					Non-Aligned	[AU]	[Cmd][Stf][Stf][Stf]		Husnock Class			4	0	10	This ship does not have to be staffed to move to an opponent's mission. When this ship is about to move to an opponent's mission, subtract 4 from the span total required. When personnel that the player on your right commands begin a mission attempt at this mission, you may draw an extra dilemma and spend one extra on dilemmas.
One to One	FTB	STVE-EN16009	V	N	Y	16V009	Dilemma	2	D														Randomly select two personnel. If they both are [Cmd] or both are [Stf], they are stopped.
Treachery Running Deep	FTB	STVE-EN16018	V	N	Y	16V018	Dilemma	4	D														Unless you have 3 Anthropology or Physics, Treachery, and Cunning>28, randomly select a personnel to be stopped, and discard a card from hand for each Praetor personnel and Senator personnel your opponent commands.
Ro Laren Headstrong Ensign	FTB	STVE-EN16037	V	Y	Y	16V037	Personnel	2					Federation	[Stf][TNG]				Bajoran	Navigation Officer Programming	4	6	6	While this personnel is facing a dual dilemma, she cannot be randomly selected by dilemmas.
Neral Seasoned Politician	FTB	STVE-EN16043	V	Y	Y	16V043	Personnel	3					Romulan			Praetor. 		Romulan	Anthropology Archaeology Diplomacy 2 Leadership Treachery	3	6	4	While this personnel is facing a dilemma that requires Leadership or Treachery, he and each Treachery personnel present cannot be randomly selected by that dilemma.
All-Consuming Evil	FTB	STVE-EN16001	V	N	Y	16V001	Dilemma	2	P														Place this dilemma on top of its owner's dilemma pile. When this dilemma is placed beneath a mission by a Consume dilemma, your opponent names a skill. Randomly select a personnel that is attempting that mission with that skill to be killed.
Artificial Wormhole	FTB	STVE-EN16002	V	N	Y	16V002	Dilemma	3	S														Your personnel cannot gain skills while facing this dilemma. Unless you have 2 Leadership and 2 Officer, or Engineer, Programming, and Cunning>33, or this ship's corresponding Commander your opponent may take a ship at a mission and place it at a different mission. That ship's Range for this turn is used.
Best Interests at Heart	FTB	STVE-EN16003	V	N	Y	16V003	Dilemma	3	D														Randomly select three personnel. If the total cost of those personnel is 4 or less, lose 5 points and your opponent scores 5 points. Otherwise, randomly select one of those personnel to be stopped.
Ajur Temporal Thief	FTB	STVE-EN16040	V	Y	Y	16V040	Personnel	3					Non-Aligned	[Cmd][Fut]		Thief. 		Vorgon	2 Anthropology Archaeology Treachery	3	6	5	When you play this personnel, you may search your dilemma pile for a dilemma that costs 3 or more and set it aside. Shuffle and replace your dilemma pile and place that dilemma on top of your dilemma pile.
Boratus Temporal Thief	FTB	STVE-EN16041	V	Y	Y	16V041	Personnel	3					Non-Aligned	[Cmd][Fut]		Thief. 		Vorgon	Archaeology 2 Security Treachery	3	6	5	When you play this personnel, you may search your dilemma pile for a dilemma that costs 3 or more and set it aside. Shuffle and replace your dilemma pile and place that dilemma on top of your dilemma pile.
Skeptical Superiors	FTB	STVE-EN16012	V	N	Y	16V012	Dilemma	2	S														Unless you have 3 Leadership or Astrometrics, Programming, and Cunning>28, randomly select a personnel to be stopped, and randomly select a personnel to be stopped for each Admiral personnel your opponent commands.
The Clown: On His Throne	FTB	STVE-EN16015	V	N	Y	16V015	Dilemma	4	D							Consume: 2. 							Place this dilemma on this mission. Your opponent names an attribute (Integrity, Cunning, or Strength). Replace attributes in this mission's requirements (and alternate requirements in game text) with the named attribute. At the end of the turn, remove this dilemma from the game.
Helen Noel Enterprise Psychiatrist	FTB	STVE-EN16036	V	Y	Y	16V036	Personnel	2					Federation	[Stf][TOS][Pa]				Human	2 Anthropology Biology Diplomacy Medical	5	6	4	You may play this personnel at cost +3 to reveal the top four dilemmas of an opponent's dilemma pile and remove each dilemma that has a cost of 1 or more and does not require a skill from the game. The remaining dilemmas return to their owner's dilemma pile.
Klingon Law	FTB	STVE-EN16007	V	N	Y	16V007	Dilemma	2	D														Unless you have Integrity>40 or Leadership, Programming, and Cunning>28, randomly select a personnel to be stopped, and your opponent may draw a card for each Chancellor personnel and High Council Member personnel he or she commands.
The Seen and the Unseen	FTB	STVE-EN16016	V	N	Y	16V016	Dilemma	4	D														Unless at least half your personnel are not [NA], stop all your personnel, lose 5 points, your opponent scores 5 points, and this dilemma returns to its owner's dilemma pile.
Kira Nerys Defiant Leader	FTB	STVE-EN16030	V	Y	Y	16V030	Personnel	4					Bajoran	[Cmd][DS9]		Commander: U.S.S. Defiant. 		Bajoran	Honor Leadership Officer Programming	6	6	6	When you play this personnel, if you command Bajor, you may destroy an event. When an opponent plays an interrupt, if you command Mouth of the Wormhole, you may return this personnel to her owner's hand to prevent that interrupt and place it in its owner's discard pile.
Unionize	FTB	STVE-EN16019	V	N	Y	16V019	Dilemma	3	D														Unless you have 3 Security or Anthropology, Diplomacy, and Integrity>24, randomly select a personnel to be stopped, and you must destroy any number of events from your core that have a total cost equal to or greater than the number of Dabo Girl personnel and Waiter personnel your opponent commands.
Hindrance	FTB	STVE-EN16022	V	Y	Y	16V022	Event	1								Temporal. 							Plays in your core. When personnel that the player on your right commands begin a mission attempt, you may kill one of your unique [Fut] personnel who costs 3 or more to draw three extra dilemmas and spend three extra in total cost on dilemmas.
Keeping Track of You	FTB	STVE-EN16023	V	N	Y	16V023	Event	2								Q.  Q. 							When you are about to play this event, choose one: it gains the gametext of a non-unique Q event you command; or it gains the gametext of a non-unique Q event an opponent commands.
Savagery to Match Their Numbers	FTB	STVE-EN16011	V	N	Y	16V011	Dilemma	3	P														Unless you have Strength>40 or Officer, Security, and Cunning>28, randomly select a personnel to be stopped, and choose a number of personnel who have a total cost equal to or greater than the number of Alpha personnel your opponent commands to be killed.
The Undiscovered Country	FTB	STVE-EN16025	V	Y	Y	16V025	Event	4															Plays in your core. When a personnel that the player on your right commands begins a mission attempt, before you have drawn dilemmas, you may destroy this event to name a personnel. Each opponent's personnel with that card title is stopped.
Uninvited	FTB	STVE-EN16027	V	N	Y	16V027	Interrupt	0								Q. 							When personnel that the player on your right commands begin a mission attempt, choose a dilemma that has a cost of 1 or less, and place it aside. Then shuffle and replace your dilemma pile. After you have chosen dilemmas for your dilemma stack, place that dilemma on top of your dilemma stack.
Patriotic Spirit	FTB	STVE-EN16010	V	N	Y	16V010	Dilemma	2	P														Unless you have 3 Officer or Honor, Leadership, and Strength>28, randomly select a personnel to be stopped, and randomly select a personnel to be stopped for each Glinn personnel your opponent commands.
Telle Macet's Aide	FTB	STVE-EN16033ab	V	Y	Y	16V033	Personnel	2					Cardassian	[Stf]		Glinn. 		Cardassian	Medical Programming Science Transporters Treachery	4	5	6	When this personnel is about to face a dual dilemma, you may discard three cards from hand to exchange that dilemma with a dual dilemma beneath this mission that this personnel has not faced this turn.
Delivery Boy	FTB	STVE-EN16021	V	N	Y	16V021	Event	0								Q.  Temporal. 							Plays in your core. When you are about to play a Q event or a Temporal event, you may destroy this event to play that event at cost -3.
Reyga Young Scientist	FTB	STVE-EN16038	V	Y	Y	16V038	Personnel	4					Ferengi	[Stf]				Ferengi	2 Astrometrics 2 Engineer 2 Science	5	7	5	While this personnel is facing a dilemma that has a cost of 1 or more and does not require a skill, you may remove two Rule cards from beneath your Ferenginar from the game to prevent and overcome that dilemma.
Subliminal Signal	FTB	STVE-EN16024	V	N	Y	16V024	Event	3								Temporal. 							Plays in your core. When a dilemma that has a cost of 3 is revealed from your dilemma stack, you may place the top card of your dilemma pile face up beneath the mission being attempted to make that dilemma cost -3.
Arak'Taral Suspicious Second	FTB	STVE-EN16034	V	Y	Y	16V034	Personnel	3					Dominion	[Stf]				Jem'Hadar	Astrometrics Officer Physics Transporters	5	5	8	When this personnel is an eligible target for a random selection, you may exclude a [Cmd] personnel present from that selection.
Klag Second Officer	FTB	STVE-EN16039	V	Y	Y	16V039	Personnel	3					Klingon	[Cmd]				Klingon	Diplomacy Honor Navigation Officer	6	6	7	While this personnel is facing a dilemma that requires Honor or Officer, he and each Honor personnel present cannot be randomly selected by that dilemma.
The Beast at El-Adrel	FTB	STVE-EN16014	V	N	Y	16V014	Dilemma	3	P														Your personnel cannot gain skills while facing this dilemma. Unless you have 2 Diplomacy and 2 Leadership, or Engineer, Transporters, and Cunning>33 or a Hand Weapon, all your personnel are stopped.
Aid Maritime Sovereignty	FTB	STVE-EN16028	V	Y	Y	16V028	Mission	0	P	2	35	D	Any affiliation may attempt this mission.						Diplomacy, Leadership, Science, and Integrity>34 or Physics, Navigation, Treachery, and Cunning>36				When you complete this mission, take a dilemma you own from beneath a mission and return it to your dilemma pile.
Two of Two Adaptation Drone	FTB	STVE-EN16032	V	Y	Y	16V032	Personnel	2					Borg	[Stf]		Drone. 		Borg	Anthropology Exobiology Science	5	5	5	When this personnel begins a mission attempt, you may name a dilemma that is beneath one of your missions. When he faces that dilemma, you may prevent that dilemma and overcome it. This effect lasts until the end of turn.
Lore Brother and Son	FTB	STVE-EN16042	V	Y	Y	16V042	Personnel	6					Non-Aligned	[Cmd]				Android	Engineer Navigation 2 Programming 2 Treachery	1	10	10	While this personnel is facing a non-Consume dilemma, he cannot be killed or stopped.
Unwanted Guests	FTB	STVE-EN16020	V	N	Y	16V020	Dilemma	2	D														Your opponent randomly discards a personnel from his or her hand. Unless you have that personnel's skills, all your personnel are stopped.
Chula: Unfortunate Roll	FTB	STVE-EN16005	V	N	Y	16V005	Dilemma	1	D														Randomly select three personnel. If their total Integrity is odd, all three are stopped.
In-Fighting	FTB	STVE-EN16006	V	N	Y	16V006	Dilemma	2	D														Your opponent names a skill. Unless you have three or less of that skill, randomly select a personnel with that skill to be killed.
Time for Action	FTB	STVE-EN16017	V	N	Y	16V017	Dilemma	0	D														For each headquarters mission your opponent commands, this dilemma is cost +2. Randomly select a personnel. Unless he or she has at least one skill listed in this mission's requirements, stop that personnel, then for each headquarters mission you command, randomly select another personnel to be stopped.
Tabor Apoplectic Bajoran	FTB	STVE-EN16031	V	Y	Y	16V031	Personnel	2					Bajoran	[Stf][Voy][Maq]				Bajoran	Engineer Physics Programming Science	5	5	5	While you have six or more personnel in your discard pile, this personnel is Cunning +2, Strength +2, and cannot be stopped by dilemmas.
George Primmin Starfleet Security	FTB	STVE-EN16035	V	Y	Y	16V035	Personnel	2					Federation	[Stf][DS9]				Human	Anthropology Officer Programming Security	6	5	6	When this personnel is about to be stopped by a dilemma, name a unique personnel. That personnel cannot be killed or stopped by dilemmas until the end of turn.
Masaro Idealistic Saboteur	FTB	STVE-EN16044	V	Y	Y	16V044	Personnel	3					Starfleet	[Stf][Pa]		Infiltrator. 		Human	Engineer Physics Programming Treachery	3	6	6	Order - If you command four different species, kill this personnel to examine the top four dilemmas of an opponent's dilemma pile and remove one from the game. The remaining dilemmas return to their owner's dilemma pile.
Azetbur Visionary Chancellor *VP	VP	STVP-EN001	VP	Y	Y	0VP001	Personnel	4					Klingon	[Cmd][Pa]		Chancellor. 		Klingon	Anthropology Diplomacy Exobiology Honor Law 2 Leadership	7	6	6	When this personnel uses a skill to complete a mission, you may destroy three of your Assault and/or Maneuver events to score 10 points.
Ro Laren Headstrong Ensign *VP	VP	STVP-EN002	VP	Y	Y	0VP002	Personnel	2					Federation	[Stf][TNG]				Bajoran	Navigation Officer Programming	4	6	6	While this personnel is facing a dual dilemma, she cannot be randomly selected by dilemmas.
All-Consuming Evil *VP	VP	STVP-EN003	VP	N	Y	0VP003	Dilemma	2	P														Place this dilemma on top of its owner's dilemma pile. When this dilemma is placed beneath a mission by a Consume dilemma, your opponent names a skill. Randomly select a personnel that is attempting that mission with that skill to be killed.
Hikaru Sulu Loyal Captain *VP	VP	STVP-EN004	VP	Y	Y	0VP004	Personnel	4					Federation	[Cmd][TOS][Pa][E]		Commander: U.S.S. Excelsior. 		Human	Archaeology Astrometrics Honor Leadership Navigation Officer	6	6	6	You may play this personnel aboard your U.S.S. Excelsior. When the ship this personnel is aboard is about to move to a mission where you command a ship, subtract 2 from the Range required.
Klag Second Officer *VP	VP	STVP-EN005	VP	Y	Y	0VP005	Personnel	3					Klingon	[Cmd]				Klingon	Diplomacy Honor Navigation Officer	6	6	7	While this personnel is facing a dilemma that requires Honor or Officer, he and each Honor personnel present cannot be randomly selected by that dilemma.
Earth Cradle of the Federation *VP	VP	STVP-EN006	VP	Y	Y	0VP006	Mission	0	H	2	0	A	This mission is not attemptable.			Region: Sector 001. 			You may play [TNG] cards, [E] cards, [NA] cards, and equipment at this mission.				
At What Cost? *VP	VP	STVP-EN007	VP	N	Y	0VP007	Event	0															Lose 5 points to spend 7 additional counters this turn.  Destroy this event.
Causal Recursion	RTS	STVE-EN17002	V	N	Y	17V002	Dilemma	2	S														Unless you choose to remove five cards in your discard pile from the game or have three missions worth 40 or more points each, place this dilemma in your core. You need an additional 10 points to win the game. When you score points from an event, you may remove this dilemma from the game.
Covert Ambush	RTS	STVE-EN17003	V	N	Y	17V003	Dilemma	3	S														Unless you have a personnel with 2 Engineer or a personnel with 2 Programming, place this dilemma in your core. When your personnel is about to be placed in an opponent's brig, this dilemma's owner may remove this dilemma from the game to randomly select an additional personnel present to be placed in that opponent's brig.
Echo Papa Attack	RTS	STVE-EN17004	V	N	Y	17V004	Dilemma	3	D														Your personnel cannot gain skills while facing this dilemma. Unless you have these requirements: [P] - Medical, Officer, and Security; or [S] - Leadership, Navigation, and Programming, randomly select a personnel to be killed and this dilemma returns to its owner's dilemma pile.
Full Complement	RTS	STVE-EN17005	V	N	Y	17V005	Dilemma	0	D														If your personnel have faced another dilemma this mission attempt, this dilemma is cost +2. Unless you have five or more personnel, randomly select a personnel to return to his or her owner's hand and this dilemma returns to its owner's dilemma pile.
He Wasn't Nice	RTS	STVE-EN17006	V	N	Y	17V006	Dilemma	0	D														This dilemma is cost +5. Your opponent names a personnel. Kill each personnel with that card title.
Miner Revolt	RTS	STVE-EN17008	V	N	Y	17V008	Dilemma	3	P														Randomly select personnel until their total cost is 6 or more. Those personnel are stopped.
Punishment Box	RTS	STVE-EN17010	V	N	Y	17V010	Dilemma	4	P														Unless you have Engineer and a personnel with Honor and Leadership or destroy one of your equipment, randomly select an Officer to be stopped and place this dilemma in your core. At the start of each of your turns, choose an Officer personnel to be stopped.
